"","Treatment","Vehicle","Compound","Class"
"5500024030402071707279.H07.CEL","Vehicle","MCF7_24","",""
"5500024035101021908499.A12.CEL","Vehicle","MCF7_25","",""
"5500024035101021908499.B11.CEL","Vehicle","MCF7_25","",""
"5500024035101021908499.D10.CEL","Vehicle","MCF7_25","",""
"5500024035101021908499.E09.CEL","Vehicle","MCF7_25","",""
"5500024035101021908499.G08.CEL","Vehicle","MCF7_25","",""
"5500024035101021908499.H07.CEL","Vehicle","MCF7_25","",""
"5500024053146032309538.C01.CEL","Vehicle","MCF7_26","",""
"5500024028416032807794.B11.CEL","Vehicle","MCF7_27","",""
"5500024028416032807794.D10.CEL","Vehicle","MCF7_27","",""
"5500024028416032807794.E09.CEL","Vehicle","MCF7_27","",""
"5500024028416032807794.G08.CEL","Vehicle","MCF7_27","",""
"5500024028416032807794.H07.CEL","Vehicle","MCF7_27","",""
"5500024024211121606513.A06.CEL","Vehicle","MCF7_29","",""
"5500024024211121606513.B05.CEL","Vehicle","MCF7_29","",""
"5500024024211121606513.D04.CEL","Vehicle","MCF7_29","",""
"5500024024211121606513.E03.CEL","Vehicle","MCF7_29","",""
"5500024024211121606513.G02.CEL","Vehicle","MCF7_29","",""
"5500024024211121606513.H01.CEL","Vehicle","MCF7_29","",""
"5500024032848101507997.A12.CEL","Vehicle","MCF7_30","",""
"5500024032848101507997.B11.CEL","Vehicle","MCF7_30","",""
"5500024032848101507997.D10.CEL","Vehicle","MCF7_30","",""
"5500024032848101507997.E09.CEL","Vehicle","MCF7_30","",""
"5500024032848101507997.G08.CEL","Vehicle","MCF7_30","",""
"5500024037289120508304.A12.CEL","Vehicle","MCF7_31","",""
"5500024037289120508304.B11.CEL","Vehicle","MCF7_31","",""
"5500024037289120508304.D10.CEL","Vehicle","MCF7_31","",""
"5500024037289120508304.E09.CEL","Vehicle","MCF7_31","",""
"5500024037289120508304.H07.CEL","Vehicle","MCF7_31","",""
"5500024051859013109328.A06.CEL","Vehicle","MCF7_32","",""
"5500024051859013109328.B05.CEL","Vehicle","MCF7_32","",""
"5500024051859013109328.D04.CEL","Vehicle","MCF7_32","",""
"5500024051859013109328.E03.CEL","Vehicle","MCF7_32","",""
"5500024051859013109328.G02.CEL","Vehicle","MCF7_32","",""
"5500024051859013109328.H01.CEL","Vehicle","MCF7_32","",""
"5500024037498121108437.A06.CEL","Vehicle","MCF7_33","",""
"5500024037498121108437.B05.CEL","Vehicle","MCF7_33","",""
"5500024037498121108437.D04.CEL","Vehicle","MCF7_33","",""
"5500024037498121108437.E03.CEL","Vehicle","MCF7_33","",""
"5500024037498121108437.H01.CEL","Vehicle","MCF7_33","",""
"5500024034290101707050.A06.CEL","Vehicle","MCF7_34","",""
"5500024034290101707050.B05.CEL","Vehicle","MCF7_34","",""
"5500024034290101707050.D04.CEL","Vehicle","MCF7_34","",""
"5500024034290101707050.E03.CEL","Vehicle","MCF7_34","",""
"5500024034290101707050.H01.CEL","Vehicle","MCF7_34","",""
"5500024031723100807770.A12.CEL","Vehicle","MCF7_35","",""
"5500024031723100807770.B11.CEL","Vehicle","MCF7_35","",""
"5500024031723100807770.D10.CEL","Vehicle","MCF7_35","",""
"5500024031723100807770.E09.CEL","Vehicle","MCF7_35","",""
"5500024031723100807770.G08.CEL","Vehicle","MCF7_35","",""
"5500024031723100807770.H07.CEL","Vehicle","MCF7_35","",""
"5500024030403071907251.A12.CEL","Vehicle","MCF7_36","",""
"5500024030403071907251.B11.CEL","Vehicle","MCF7_36","",""
"5500024030403071907251.D10.CEL","Vehicle","MCF7_36","",""
"5500024030403071907251.E09.CEL","Vehicle","MCF7_36","",""
"5500024030403071907251.G08.CEL","Vehicle","MCF7_36","",""
"5500024030403071907251.H07.CEL","Vehicle","MCF7_36","",""
"5500024024213121906558.A06.CEL","Vehicle","MCF7_37","",""
"5500024024213121906558.B05.CEL","Vehicle","MCF7_37","",""
"5500024024213121906558.E03.CEL","Vehicle","MCF7_37","",""
"5500024024213121906558.G02.CEL","Vehicle","MCF7_37","",""
"5500024024213121906558.H01.CEL","Vehicle","MCF7_37","",""
"5500024028849050407169.A12.CEL","Vehicle","MCF7_38","",""
"5500024028849050407169.B11.CEL","Vehicle","MCF7_38","",""
"5500024028849050407169.D10.CEL","Vehicle","MCF7_38","",""
"5500024028849050407169.E09.CEL","Vehicle","MCF7_38","",""
"5500024028849050407169.G08.CEL","Vehicle","MCF7_38","",""
"5500024024214122006606.A12.CEL","Vehicle","MCF7_39","",""
"5500024024214122006606.B11.CEL","Vehicle","MCF7_39","",""
"5500024024214122006606.D10.CEL","Vehicle","MCF7_39","",""
"5500024024214122006606.E09.CEL","Vehicle","MCF7_39","",""
"5500024024214122006606.G08.CEL","Vehicle","MCF7_39","",""
"5500024024214122006606.H07.CEL","Vehicle","MCF7_39","",""
"5500024031723100807772.A06.CEL","Vehicle","MCF7_40","",""
"5500024031723100807772.B05.CEL","Vehicle","MCF7_40","",""
"5500024031723100807772.D04.CEL","Vehicle","MCF7_40","",""
"5500024031723100807772.E03.CEL","Vehicle","MCF7_40","",""
"5500024031723100807772.G02.CEL","Vehicle","MCF7_40","",""
"5500024031723100807772.H01.CEL","Vehicle","MCF7_40","",""
"5500024035735011708571.A12.CEL","Vehicle","MCF7_41","",""
"5500024035735011708571.B11.CEL","Vehicle","MCF7_41","",""
"5500024035735011708571.D10.CEL","Vehicle","MCF7_41","",""
"5500024035735011708571.E09.CEL","Vehicle","MCF7_41","",""
"5500024035735011708571.G08.CEL","Vehicle","MCF7_41","",""
"5500024035735011708571.H07.CEL","Vehicle","MCF7_41","",""
"5500024053146032309538.F01.CEL","Vehicle","MCF7_43","",""
"5500024030700072107994.A12.CEL","Vehicle","MCF7_44","",""
"5500024030700072107994.B11.CEL","Vehicle","MCF7_44","",""
"5500024030700072107994.D10.CEL","Vehicle","MCF7_44","",""
"5500024030700072107994.E09.CEL","Vehicle","MCF7_44","",""
"5500024030700072107994.G08.CEL","Vehicle","MCF7_44","",""
"5500024030700072107994.H07.CEL","Vehicle","MCF7_44","",""
"5500024035735011708567.A06.CEL","Vehicle","MCF7_45","",""
"5500024035735011708567.B05.CEL","Vehicle","MCF7_45","",""
"5500024035735011708567.D04.CEL","Vehicle","MCF7_45","",""
"5500024035735011708567.E03.CEL","Vehicle","MCF7_45","",""
"5500024035735011708567.G02.CEL","Vehicle","MCF7_45","",""
"5500024035735011708567.H01.CEL","Vehicle","MCF7_45","",""
"5500024038291011509600.A01.CEL","Vehicle","MCF7_46","",""
"5500024028849050407172.A12.CEL","Vehicle","MCF7_47","",""
"5500024028849050407172.B11.CEL","Vehicle","MCF7_47","",""
"5500024028849050407172.D10.CEL","Vehicle","MCF7_47","",""
"5500024028849050407172.E09.CEL","Vehicle","MCF7_47","",""
"5500024028849050407172.G08.CEL","Vehicle","MCF7_47","",""
"5500024028849050407172.H07.CEL","Vehicle","MCF7_47","",""
"5500024030760072207031.A06.CEL","Vehicle","MCF7_48","",""
"5500024030760072207031.D04.CEL","Vehicle","MCF7_48","",""
"5500024030760072207031.E03.CEL","Vehicle","MCF7_48","",""
"5500024030760072207031.G02.CEL","Vehicle","MCF7_48","",""
"5500024030760072207031.H01.CEL","Vehicle","MCF7_48","",""
"5500024031330081907228.A06.CEL","Vehicle","MCF7_49","",""
"5500024031330081907228.B05.CEL","Vehicle","MCF7_49","",""
"5500024031330081907228.D04.CEL","Vehicle","MCF7_49","",""
"5500024031330081907228.E03.CEL","Vehicle","MCF7_49","",""
"5500024031330081907228.G02.CEL","Vehicle","MCF7_49","",""
"5500024031330081907228.H01.CEL","Vehicle","MCF7_49","",""
"5500024037498121108437.A12.CEL","Vehicle","MCF7_50","",""
"5500024037498121108437.B11.CEL","Vehicle","MCF7_50","",""
"5500024037498121108437.D10.CEL","Vehicle","MCF7_50","",""
"5500024037498121108437.E09.CEL","Vehicle","MCF7_50","",""
"5500024037498121108437.G08.CEL","Vehicle","MCF7_50","",""
"5500024037498121108437.H07.CEL","Vehicle","MCF7_50","",""
"5500024031723100807770.A06.CEL","Vehicle","MCF7_51","",""
"5500024031723100807770.B05.CEL","Vehicle","MCF7_51","",""
"5500024031723100807770.D04.CEL","Vehicle","MCF7_51","",""
"5500024031723100807770.G02.CEL","Vehicle","MCF7_51","",""
"5500024031723100807770.H01.CEL","Vehicle","MCF7_51","",""
"5500024035100021608459.C01.CEL","Vehicle","MCF7_52","",""
"5500024034290101707045.A12.CEL","Vehicle","MCF7_53","",""
"5500024034290101707045.B11.CEL","Vehicle","MCF7_53","",""
"5500024034290101707045.D10.CEL","Vehicle","MCF7_53","",""
"5500024034290101707045.E09.CEL","Vehicle","MCF7_53","",""
"5500024034290101707045.G08.CEL","Vehicle","MCF7_53","",""
"5500024034290101707045.H07.CEL","Vehicle","MCF7_53","",""
"5500024030403071907256.A06.CEL","Vehicle","MCF7_54","",""
"5500024030403071907256.B05.CEL","Vehicle","MCF7_54","",""
"5500024030403071907256.D04.CEL","Vehicle","MCF7_54","",""
"5500024030403071907256.E03.CEL","Vehicle","MCF7_54","",""
"5500024030403071907256.G02.CEL","Vehicle","MCF7_54","",""
"5500024030403071907256.H01.CEL","Vehicle","MCF7_54","",""
"5500024030403071907253.A06.CEL","Vehicle","MCF7_55","",""
"5500024030403071907253.B05.CEL","Vehicle","MCF7_55","",""
"5500024030403071907253.D04.CEL","Vehicle","MCF7_55","",""
"5500024030403071907253.E03.CEL","Vehicle","MCF7_55","",""
"5500024030403071907253.G02.CEL","Vehicle","MCF7_55","",""
"5500024030403071907253.H01.CEL","Vehicle","MCF7_55","",""
"5500024035735011708571.A06.CEL","Vehicle","MCF7_56","",""
"5500024035735011708571.B05.CEL","Vehicle","MCF7_56","",""
"5500024035735011708571.D04.CEL","Vehicle","MCF7_56","",""
"5500024035735011708571.E03.CEL","Vehicle","MCF7_56","",""
"5500024035735011708571.G02.CEL","Vehicle","MCF7_56","",""
"5500024035735011708571.H01.CEL","Vehicle","MCF7_56","",""
"5500024030700072107988.A06.CEL","Vehicle","MCF7_57","",""
"5500024030700072107988.B05.CEL","Vehicle","MCF7_57","",""
"5500024030700072107988.D04.CEL","Vehicle","MCF7_57","",""
"5500024030700072107988.E03.CEL","Vehicle","MCF7_57","",""
"5500024030700072107988.G02.CEL","Vehicle","MCF7_57","",""
"5500024030700072107988.H01.CEL","Vehicle","MCF7_57","",""
"5500024035736031208617.E01.CEL","Vehicle","MCF7_58","",""
"5500024028849050407172.A06.CEL","Vehicle","MCF7_59","",""
"5500024028849050407172.B05.CEL","Vehicle","MCF7_59","",""
"5500024028849050407172.D04.CEL","Vehicle","MCF7_59","",""
"5500024028849050407172.E03.CEL","Vehicle","MCF7_59","",""
"5500024028849050407172.G02.CEL","Vehicle","MCF7_59","",""
"5500024028849050407172.H01.CEL","Vehicle","MCF7_59","",""
"5500024030402071707277.A06.CEL","Vehicle","MCF7_60","",""
"5500024030402071707277.B05.CEL","Vehicle","MCF7_60","",""
"5500024030402071707277.D04.CEL","Vehicle","MCF7_60","",""
"5500024030402071707277.E03.CEL","Vehicle","MCF7_60","",""
"5500024030402071707277.G02.CEL","Vehicle","MCF7_60","",""
"5500024031723100807772.A12.CEL","Vehicle","MCF7_61","",""
"5500024031723100807772.B11.CEL","Vehicle","MCF7_61","",""
"5500024031723100807772.D10.CEL","Vehicle","MCF7_61","",""
"5500024031723100807772.E09.CEL","Vehicle","MCF7_61","",""
"5500024031723100807772.G08.CEL","Vehicle","MCF7_61","",""
"5500024031723100807772.H07.CEL","Vehicle","MCF7_61","",""
"5500024037496121008324.A06.CEL","Vehicle","MCF7_62","",""
"5500024037496121008324.B05.CEL","Vehicle","MCF7_62","",""
"5500024037496121008324.D04.CEL","Vehicle","MCF7_62","",""
"5500024037496121008324.E03.CEL","Vehicle","MCF7_62","",""
"5500024037496121008324.G02.CEL","Vehicle","MCF7_62","",""
"5500024037496121008324.H01.CEL","Vehicle","MCF7_62","",""
"5500024035736031208617.F01.CEL","Vehicle","MCF7_63","",""
"5500024053146032309538.H01.CEL","Vehicle","MCF7_64","",""
